repo,sha,parent,child,lic_parent,lic_child,jurisdiction,label,label_source,label_confidence
apache/airflow,,@babel/preset-env,@babel/helper-validator-option,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,js-yaml,argparse,MIT,MIT,US,compatible,child_permissive,high
apache/airflow,,@swc/helpers,tslib,Apache-2.0,0BSD,US,compatible,default_compatible,low
apache/airflow,,url-loader,schema-utils,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,fbjs,object-assign,MIT,MIT,US,compatible,child_permissive,high
apache/airflow,,atlassian-openapi,urijs,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,mime-types,mime-db,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,@zag-js/tour,@zag-js/dom-query,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,webpack,@webassemblyjs/wasm-parser,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,@babel/generator,@babel/types,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,eslint-import-resolver-node,resolve,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,inflight,once,ISC,unknown,US,compatible,default_compatible,low
apache/airflow,,d3-transition,d3-selection,unknown,ISC,US,compatible,child_permissive,high
apache/airflow,,eslint,@eslint/eslintrc,MIT,unknown,US,compatible,default_compatible,low
apache/airflow,,@webassemblyjs/wasm-edit,@webassemblyjs/helper-wasm-bytecode,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,micromark-factory-label,micromark-util-symbol,MIT,MIT,US,compatible,child_permissive,high
apache/airflow,,msw,headers-polyfill,MIT,MIT,US,compatible,child_permissive,high
apache/airflow,,msw,picocolors,MIT,ISC,US,compatible,child_permissive,high
apache/airflow,,eslint-json-compat-utils,eslint,MIT,MIT,US,compatible,child_permissive,high
apache/airflow,,dom-helpers,@babel/runtime,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,vitest,magic-string,BSD-3-Clause AND ISC AND MIT,MIT,US,compatible,child_permissive,high
apache/airflow,,@visx/vendor,d3-delaunay,unknown,ISC,US,compatible,child_permissive,high
apache/airflow,,@babel/helper-create-class-features-plugin,@babel/helper-member-expression-to-functions,MIT,unknown,US,compatible,default_compatible,low
apache/airflow,,estree-walker,@types/estree,MIT,MIT,US,compatible,child_permissive,high
apache/airflow,,eslint-plugin-unicorn,semver,unknown,ISC,US,compatible,child_permissive,high
apache/airflow,,@testing-library/react,@types/react-dom,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,stylelint,imurmurhash,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,@babel/plugin-bugfix-safari-class-field-initializer-scope,@babel/helper-plugin-utils,MIT,MIT,US,compatible,child_permissive,high
apache/airflow,,webpack-cli,interpret,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,d3-transition,d3-dispatch,unknown,ISC,US,compatible,child_permissive,high
apache/airflow,,p-limit,yocto-queue,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,regexp.prototype.flags,es-errors,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,mdast-util-find-and-replace,escape-string-regexp,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,@webassemblyjs/wasm-edit,@webassemblyjs/helper-wasm-section,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,@babel/helper-environment-visitor,@babel/types,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,com.github.apache/airflow,github/codeql-action/init,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,com.github.apache/airflow,qdrant-client,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,es-object-atoms,es-errors,MIT,MIT,US,compatible,child_permissive,high
apache/airflow,,com.github.apache/airflow,react-chartjs-2,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,com.github.apache/airflow,asyncpg,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,d3-shape,d3-path,BSD-3-Clause,BSD-3-Clause,US,compatible,child_permissive,high
apache/airflow,,cacheable,hookified,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,micromark-factory-label,micromark-util-types,MIT,MIT,US,compatible,child_permissive,high
apache/airflow,,@zag-js/tabs,@zag-js/types,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,parse-entities,decode-named-character-reference,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,@visx/shape,@types/d3-shape,unknown,MIT,US,compatible,child_permissive,high
apache/airflow,,d3-drag,d3-dispatch,unknown,ISC,US,compatible,child_permissive,high
apache/airflow,,com.github.apache/airflow,webpack-manifest-plugin,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,@zag-js/date-picker,@zag-js/types,unknown,unknown,US,compatible,default_compatible,low
apache/airflow,,@babel/generator,jsesc,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,mkdocs-material,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,re-actors/alls-green,unknown,unknown,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,actions/setup-python,unknown,unknown,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,actions/upload-artifact,unknown,unknown,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,click,unknown,unknown,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,pytest-mock,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,h11,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,mypy,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,pytest-xdist,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,websockets,unknown,BSD-2-Clause AND BSD-3-Clause,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,a2wsgi,unknown,Apache-2.0,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,coverage-conditional-plugin,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,build,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,coverage,unknown,Apache-2.0,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,typing-extensions,unknown,unknown,US,compatible,default_compatible,low
encode/uvicorn,,com.github.encode/uvicorn,httpx,unknown,BSD-3-Clause,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,mkdocstrings-python,unknown,ISC,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,pytest,unknown,MIT,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,twine,unknown,Apache-2.0,US,compatible,child_permissive,high
encode/uvicorn,,com.github.encode/uvicorn,actions/checkout,unknown,unknown,US,compatible,default_compatible,low
