repo,sha,parent,child,lic_parent,lic_child
apache/airflow,,@lezer/highlight,@lezer/common,unknown,MIT
apache/airflow,,locate-path,p-locate,unknown,MIT
apache/airflow,,p-locate,p-limit,MIT,unknown
apache/airflow,,reflect.getprototypeof,es-errors,unknown,MIT
apache/airflow,,reflect.getprototypeof,get-intrinsic,unknown,MIT
apache/airflow,,reflect.getprototypeof,define-properties,unknown,MIT
apache/airflow,,reflect.getprototypeof,get-proto,unknown,MIT
apache/airflow,,reflect.getprototypeof,es-object-atoms,unknown,MIT
apache/airflow,,reflect.getprototypeof,es-abstract,unknown,MIT
apache/airflow,,reflect.getprototypeof,which-builtin-type,unknown,MIT
apache/airflow,,reflect.getprototypeof,call-bind,unknown,MIT
apache/airflow,,get-intrinsic,es-errors,MIT,MIT
apache/airflow,,get-intrinsic,has-symbols,MIT,MIT
apache/airflow,,get-intrinsic,es-define-property,MIT,MIT
apache/airflow,,get-intrinsic,function-bind,MIT,MIT
apache/airflow,,get-intrinsic,hasown,MIT,MIT
apache/airflow,,get-intrinsic,gopd,MIT,MIT
apache/airflow,,get-intrinsic,call-bind-apply-helpers,MIT,MIT
apache/airflow,,get-intrinsic,get-proto,MIT,MIT
apache/airflow,,get-intrinsic,es-object-atoms,MIT,MIT
apache/airflow,,get-intrinsic,math-intrinsics,MIT,MIT
apache/airflow,,define-properties,has-property-descriptors,MIT,unknown
apache/airflow,,define-properties,define-data-property,MIT,MIT
apache/airflow,,define-properties,object-keys,MIT,MIT
apache/airflow,,get-proto,dunder-proto,MIT,MIT
apache/airflow,,get-proto,es-object-atoms,MIT,MIT
apache/airflow,,es-object-atoms,es-errors,MIT,MIT
apache/airflow,,es-abstract,es-errors,MIT,MIT
apache/airflow,,es-abstract,has-symbols,MIT,MIT
apache/airflow,,es-abstract,es-define-property,MIT,MIT
apache/airflow,,es-abstract,hasown,MIT,MIT
apache/airflow,,es-abstract,gopd,MIT,MIT
apache/airflow,,es-abstract,has-property-descriptors,MIT,unknown
apache/airflow,,es-abstract,get-intrinsic,MIT,MIT
apache/airflow,,es-abstract,globalthis,MIT,unknown
apache/airflow,,es-abstract,get-proto,MIT,MIT
apache/airflow,,es-abstract,available-typed-arrays,MIT,MIT
apache/airflow,,es-abstract,is-callable,MIT,MIT
apache/airflow,,es-abstract,string.prototype.trimstart,MIT,unknown
apache/airflow,,es-abstract,object-keys,MIT,MIT
apache/airflow,,es-abstract,es-object-atoms,MIT,MIT
apache/airflow,,es-abstract,math-intrinsics,MIT,MIT
apache/airflow,,es-abstract,es-set-tostringtag,MIT,unknown
apache/airflow,,es-abstract,call-bound,MIT,MIT
apache/airflow,,es-abstract,internal-slot,MIT,MIT
apache/airflow,,es-abstract,data-view-buffer,MIT,unknown
apache/airflow,,es-abstract,is-regex,MIT,MIT
apache/airflow,,es-abstract,function.prototype.name,MIT,MIT
apache/airflow,,es-abstract,data-view-byte-length,MIT,MIT
apache/airflow,,es-abstract,is-string,MIT,unknown
apache/airflow,,es-abstract,is-shared-array-buffer,MIT,unknown
apache/airflow,,es-abstract,get-symbol-description,MIT,MIT
apache/airflow,,es-abstract,set-proto,MIT,MIT
apache/airflow,,es-abstract,is-weakref,MIT,MIT
apache/airflow,,es-abstract,regexp.prototype.flags,MIT,unknown
apache/airflow,,es-abstract,array-buffer-byte-length,MIT,MIT
apache/airflow,,es-abstract,typed-array-byte-length,MIT,MIT
apache/airflow,,es-abstract,call-bind,MIT,MIT
apache/airflow,,es-abstract,unbox-primitive,MIT,unknown
apache/airflow,,es-abstract,is-typed-array,MIT,MIT
apache/airflow,,es-abstract,typed-array-byte-offset,MIT,unknown
apache/airflow,,es-abstract,object.assign,MIT,MIT
apache/airflow,,es-abstract,which-typed-array,MIT,MIT
apache/airflow,,es-abstract,safe-array-concat,MIT,MIT
apache/airflow,,es-abstract,string.prototype.trimend,MIT,MIT
apache/airflow,,es-abstract,es-to-primitive,MIT,MIT
apache/airflow,,es-abstract,has-proto,MIT,unknown
apache/airflow,,es-abstract,typed-array-buffer,MIT,unknown
apache/airflow,,es-abstract,is-array-buffer,MIT,unknown
apache/airflow,,es-abstract,safe-regex-test,MIT,MIT
