repo,sha,parent,child,lic_parent,lic_child
jupyter/notebook,,@babel/plugin-transform-modules-commonjs,@babel/helper-simple-access,unknown,MIT
jupyter/notebook,,@babel/plugin-transform-modules-commonjs,@babel/helper-plugin-utils,unknown,MIT
jupyter/notebook,,@babel/plugin-transform-modules-commonjs,@babel/helper-module-transforms,unknown,MIT
jupyter/notebook,,@babel/helper-simple-access,@babel/types,MIT,MIT
jupyter/notebook,,@babel/helper-module-transforms,@babel/helper-simple-access,MIT,MIT
jupyter/notebook,,@babel/helper-module-transforms,@babel/helper-module-imports,MIT,MIT
jupyter/notebook,,@babel/helper-module-transforms,@babel/helper-environment-visitor,MIT,MIT
jupyter/notebook,,@babel/helper-module-transforms,@babel/helper-split-export-declaration,MIT,MIT
jupyter/notebook,,@babel/helper-module-transforms,@babel/helper-validator-identifier,MIT,MIT
jupyter/notebook,,react-toastify,clsx,unknown,MIT
jupyter/notebook,,load-json-file,parse-json,unknown,MIT
jupyter/notebook,,load-json-file,type-fest,unknown,MIT OR (CC0-1.0 AND MIT)
jupyter/notebook,,load-json-file,strip-bom,unknown,MIT
jupyter/notebook,,load-json-file,graceful-fs,unknown,ISC
jupyter/notebook,,load-json-file,pify,unknown,MIT
jupyter/notebook,,parse-json,json-parse-even-better-errors,MIT,MIT
jupyter/notebook,,parse-json,error-ex,MIT,MIT
jupyter/notebook,,parse-json,lines-and-columns,MIT,MIT
jupyter/notebook,,parse-json,@babel/code-frame,MIT,MIT
jupyter/notebook,,parse-json,json-parse-better-errors,MIT,MIT
jupyter/notebook,,@babel/plugin-transform-export-namespace-from,@babel/helper-plugin-utils,unknown,MIT
jupyter/notebook,,@babel/plugin-transform-export-namespace-from,@babel/plugin-syntax-export-namespace-from,unknown,MIT
jupyter/notebook,,@babel/plugin-syntax-export-namespace-from,@babel/helper-plugin-utils,MIT,MIT
jupyter/notebook,,@types/d3-shape,@types/d3-path,unknown,MIT
jupyter/notebook,,@sigstore/bundle,@sigstore/protobuf-specs,unknown,Apache-2.0
jupyter/notebook,,@jupyterlab/filebrowser-extension,@lumino/algorithm,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/filebrowser-extension,@lumino/commands,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/filebrowser-extension,@lumino/widgets,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/services,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/statusbar,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/docmanager,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/ui-components,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/statedb,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/apputils,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/coreutils,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/application,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/settingregistry,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/filebrowser,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/docregistry,unknown,unknown
jupyter/notebook,,@jupyterlab/filebrowser-extension,@jupyterlab/translation,unknown,unknown
jupyter/notebook,,@lumino/commands,@lumino/algorithm,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/commands,@lumino/disposable,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/commands,@lumino/keyboard,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/commands,@lumino/signaling,BSD-3-Clause,unknown
jupyter/notebook,,@lumino/commands,@lumino/domutils,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/commands,@lumino/virtualdom,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/commands,@lumino/coreutils,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/widgets,@lumino/algorithm,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/widgets,@lumino/disposable,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/widgets,@lumino/messaging,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/widgets,@lumino/keyboard,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/widgets,@lumino/dragdrop,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/widgets,@lumino/signaling,BSD-3-Clause,unknown
jupyter/notebook,,@lumino/widgets,@lumino/domutils,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/widgets,@lumino/virtualdom,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/widgets,@lumino/properties,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/widgets,@lumino/coreutils,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@lumino/widgets,@lumino/commands,BSD-3-Clause,BSD-3-Clause
jupyter/notebook,,@jupyterlab/services,ws,unknown,MIT
jupyter/notebook,,@jupyterlab/services,@lumino/disposable,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/services,@lumino/polling,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/services,@lumino/signaling,unknown,unknown
jupyter/notebook,,@jupyterlab/services,@lumino/properties,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/services,@lumino/coreutils,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/services,@jupyterlab/statedb,unknown,unknown
jupyter/notebook,,@jupyterlab/services,@jupyterlab/nbformat,unknown,unknown
jupyter/notebook,,@jupyterlab/services,@jupyterlab/coreutils,unknown,unknown
jupyter/notebook,,@jupyterlab/services,@jupyter/ydoc,unknown,unknown
jupyter/notebook,,@jupyterlab/services,@jupyterlab/settingregistry,unknown,unknown
jupyter/notebook,,@jupyterlab/statusbar,react,unknown,MIT
jupyter/notebook,,@jupyterlab/statusbar,@lumino/algorithm,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/statusbar,@lumino/disposable,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/statusbar,@lumino/messaging,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/statusbar,@lumino/signaling,unknown,unknown
jupyter/notebook,,@jupyterlab/statusbar,@lumino/coreutils,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/statusbar,@lumino/widgets,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/statusbar,@jupyterlab/ui-components,unknown,unknown
jupyter/notebook,,@jupyterlab/docmanager,react,unknown,MIT
jupyter/notebook,,@jupyterlab/docmanager,@lumino/algorithm,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/docmanager,@lumino/disposable,unknown,BSD-3-Clause
jupyter/notebook,,@jupyterlab/docmanager,@lumino/messaging,unknown,BSD-3-Clause
