repo,sha,parent,child,lic_parent,lic_child
jupyterlab/jupyterlab,,source-map-support,source-map,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,source-map-support,buffer-from,unknown,MIT
jupyterlab/jupyterlab,,@lumino/disposable,@lumino/signaling,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/signaling,@lumino/coreutils,BSD-3-Clause,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/signaling,@lumino/algorithm,BSD-3-Clause,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/polling,@lumino/coreutils,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/polling,@lumino/signaling,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/polling,@lumino/disposable,unknown,unknown
jupyterlab/jupyterlab,,@lumino/coreutils,@lumino/algorithm,BSD-3-Clause,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/commands,@lumino/coreutils,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/commands,@lumino/algorithm,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/commands,@lumino/keyboard,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/commands,@lumino/signaling,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/commands,@lumino/domutils,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/commands,@lumino/virtualdom,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@lumino/commands,@lumino/disposable,unknown,unknown
jupyterlab/jupyterlab,,@lumino/virtualdom,@lumino/algorithm,BSD-3-Clause,BSD-3-Clause
jupyterlab/jupyterlab,,terser,acorn,unknown,MIT
jupyterlab/jupyterlab,,terser,@jridgewell/source-map,unknown,MIT
jupyterlab/jupyterlab,,terser,commander,unknown,MIT
jupyterlab/jupyterlab,,terser,source-map-support,unknown,unknown
jupyterlab/jupyterlab,,terser,source-map,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@jridgewell/source-map,@jridgewell/trace-mapping,MIT,MIT
jupyterlab/jupyterlab,,@jridgewell/source-map,@jridgewell/gen-mapping,MIT,unknown
jupyterlab/jupyterlab,,clone-deep,is-plain-object,unknown,MIT
jupyterlab/jupyterlab,,clone-deep,shallow-clone,unknown,MIT
jupyterlab/jupyterlab,,clone-deep,kind-of,unknown,MIT
jupyterlab/jupyterlab,,is-plain-object,isobject,MIT,MIT
jupyterlab/jupyterlab,,shallow-clone,kind-of,MIT,MIT
jupyterlab/jupyterlab,,esrecurse,estraverse,unknown,BSD-2-Clause
jupyterlab/jupyterlab,,@types/webpack-sources,@types/source-list-map,unknown,MIT
jupyterlab/jupyterlab,,@types/webpack-sources,@types/node,unknown,MIT
jupyterlab/jupyterlab,,@types/webpack-sources,source-map,unknown,BSD-3-Clause
jupyterlab/jupyterlab,,@types/node,undici-types,MIT,MIT
jupyterlab/jupyterlab,,y-protocols,lib0,unknown,MIT
jupyterlab/jupyterlab,,lib0,isomorphic.js,MIT,MIT
jupyterlab/jupyterlab,,@jupyterlab/builder,terser-webpack-plugin,unknown,MIT
jupyterlab/jupyterlab,,@jupyterlab/builder,mini-svg-data-uri,unknown,MIT
