repo,sha,parent,child,lic_parent,lic_child
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,eslint,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,eslint-config-prettier,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,prettier,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,@jsxtools/resize-observer,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,black,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,certifi,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,cycler,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinx-design,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,mpl-sphinx-theme,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/cache,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,meson-python,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pytest,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,fonttools,unknown,MIT
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,packaging,unknown,(Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause) OR (Apache-2.0 AND BSD-2-Clause)
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,ruff,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,ipython,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,colorspacious,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/upload-artifact,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,setuptools-scm,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pytest-cov,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,importlib-resources,unknown,Apache-2.0
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,types-psutil,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,github/codeql-action/analyze,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pytz,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,nbformat,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,codecov/codecov-action,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,peter-evans/create-or-update-comment,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pybind11,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,numpy,unknown,BSD-2-Clause
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pillow,unknown,MIT-CMU
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pystemmer,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,imjohnbo/issue-bot,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pre-commit/action,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pypa/cibuildwheel,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,ipykernel,unknown,BSD-2-Clause
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,kiwisolver,unknown,BSD-2-Clause
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,types-python-dateutil,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/labeler,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/download-artifact,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,contourpy,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,eps1lon/actions-label-merge-conflict,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,github/codeql-action/init,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pyyaml,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pydata-sphinx-theme,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pypa/gh-action-pypi-publish,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pytest-rerunfailures,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pyparsing,unknown,MIT
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,mypy,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinx-tags,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinx-copybutton,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinxcontrib-video,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,actions/first-interaction,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,sphinxcontrib-svg2pdfconverter,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pytest-xdist,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pywin32,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,coverage,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,python-dateutil,unknown,unknown
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,pandas-stubs,unknown,unknown
