repo,sha,parent,child,lic_parent,lic_child
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pytest,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/checkout,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,joblib,unknown,BSD-2-Clause AND BSD-3-Clause
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,threadpoolctl,unknown,BSD-2-Clause AND BSD-3-Clause
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,github/codeql-action/autobuild,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,github/codeql-action/init,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pypa/cibuildwheel,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,sphinx-gallery,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,cython,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,peter-evans/create-pull-request,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,thomasjpfan/labeler,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pytest-xdist,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,github/codeql-action/analyze,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,codespell-project/actions-codespell,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pillow,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scikit-image,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pytest-cov,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,conda-incubator/setup-miniconda,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,codespell-project/codespell-problem-matcher,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,andymckay/labeler,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,polars,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,matplotlib,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scientific-python/circleci-artifacts-redirector-action,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/cache,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/upload-artifact,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pandas,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scientific-python/action-towncrier-changelog,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,numpy,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scipy,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,seaborn,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scientific-python/upload-nightly-action,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions-ecosystem/action-remove-labels,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,scikit-learn,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,pypa/gh-action-pypi-publish,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/setup-python,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,meson-python,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,ninja,unknown,unknown
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,actions/download-artifact,unknown,unknown
