repo,sha,parent,child,lic_parent,lic_child
tiangolo/fastapi,,com.github.fastapi/fastapi,tiangolo/issue-manager,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocs-material,unknown,MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,jieba,unknown,MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,sqlmodel,unknown,MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,pypa/gh-action-pypi-publish,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,smokeshow,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,httpx,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,cairosvg,unknown,LGPL-2.0-or-later AND LGPL-3.0 AND LGPL-3.0-only AND LGPL-3.0-or-later
tiangolo/fastapi,,com.github.fastapi/fastapi,starlette,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,cloudflare/wrangler-action,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,passlib,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,flask,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocs-redirects,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,pre-commit,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,dirty-equals,unknown,MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,dorny/paths-filter,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/upload-artifact,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,tiangolo/latest-changes,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,pillow,unknown,LicenseRef-scancode-secret-labs-2011 AND MIT-CMU
tiangolo/fastapi,,com.github.fastapi/fastapi,griffe-typingdoc,unknown,ISC
tiangolo/fastapi,,com.github.fastapi/fastapi,typer,unknown,MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/download-artifact,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,coverage,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,anyio,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/checkout,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/add-to-project,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,mdx-include,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,playwright,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,typing-extensions,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,types-orjson,unknown,Apache-2.0
tiangolo/fastapi,,com.github.fastapi/fastapi,pytest,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/cache,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,pydantic-ai,unknown,MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocs-macros-plugin,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,mypy,unknown,MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,inline-snapshot,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,re-actors/alls-green,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,pygithub,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,gitpython,unknown,BSD-3-Clause
tiangolo/fastapi,,com.github.fastapi/fastapi,ruff,unknown,0BSD AND Apache-2.0 AND BSD-3-Clause AND MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,markdown-include-variants,unknown,MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,black,unknown,MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,types-ujson,unknown,Apache-2.0
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/setup-python,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,pydantic,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,pydantic-settings,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,mxschmitt/action-tmate,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,actions/labeler,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,mkdocstrings,unknown,ISC
tiangolo/fastapi,,com.github.fastapi/fastapi,pyyaml,unknown,unknown
tiangolo/fastapi,,com.github.fastapi/fastapi,pyjwt,unknown,MIT
tiangolo/fastapi,,com.github.fastapi/fastapi,astral-sh/setup-uv,unknown,unknown
