repo,sha,parent,child,lic_parent,lic_child
twisted/twisted,,com.github.twisted/twisted,CodSpeedHQ/action,unknown,unknown
twisted/twisted,,com.github.twisted/twisted,codecov/codecov-action,unknown,unknown
twisted/twisted,,com.github.twisted/twisted,twisted/python-info-action,unknown,unknown
twisted/twisted,,com.github.twisted/twisted,pypa/gh-action-pypi-publish,unknown,unknown
twisted/twisted,,com.github.twisted/twisted,actions/checkout,unknown,unknown
twisted/twisted,,com.github.twisted/twisted,actions/download-artifact,unknown,unknown
twisted/twisted,,com.github.twisted/twisted,actions/cache,unknown,unknown
twisted/twisted,,com.github.twisted/twisted,mxschmitt/action-tmate,unknown,unknown
twisted/twisted,,com.github.twisted/twisted,actions/upload-artifact,unknown,unknown
twisted/twisted,,com.github.twisted/twisted,actions/setup-python,unknown,unknown
