repo,sha,name,license,is_root
apache/airflow,,apache/airflow,unknown,True
apache/airflow,,@lezer/highlight,unknown,False
apache/airflow,,@lezer/common,MIT,False
apache/airflow,,locate-path,unknown,False
apache/airflow,,p-locate,MIT,False
apache/airflow,,reflect.getprototypeof,unknown,False
apache/airflow,,es-errors,MIT,False
apache/airflow,,get-intrinsic,MIT,False
apache/airflow,,define-properties,MIT,False
apache/airflow,,get-proto,MIT,False
apache/airflow,,es-object-atoms,MIT,False
apache/airflow,,es-abstract,MIT,False
apache/airflow,,which-builtin-type,MIT,False
apache/airflow,,call-bind,MIT,False
apache/airflow,,import-fresh,unknown,False
apache/airflow,,resolve-from,MIT,False
apache/airflow,,parent-module,MIT,False
apache/airflow,,@internationalized/number,unknown,False
apache/airflow,,@swc/helpers,Apache-2.0,False
apache/airflow,,@vitest/mocker,unknown,False
apache/airflow,,estree-walker,MIT,False
apache/airflow,,magic-string,MIT,False
apache/airflow,,vite,Apache-2.0 AND BSD-2-Clause AND BlueOak-1.0.0 AND CC0-1.0 AND ISC AND MIT,False
apache/airflow,,msw,MIT,False
apache/airflow,,@vitest/spy,MIT,False
apache/airflow,,ajv,unknown,False
apache/airflow,,fast-json-stable-stringify,MIT,False
apache/airflow,,uri-js,BSD-2-Clause AND BSD-2-Clause-Views,False
apache/airflow,,json-schema-traverse,MIT,False
apache/airflow,,fast-deep-equal,MIT,False
apache/airflow,,fs-minipass,unknown,False
apache/airflow,,minipass,ISC,False
apache/airflow,,@codemirror/theme-one-dark,unknown,False
apache/airflow,,@codemirror/state,MIT,False
apache/airflow,,@codemirror/language,MIT,False
apache/airflow,,@codemirror/view,MIT,False
apache/airflow,,brace-expansion,unknown,False
apache/airflow,,balanced-match,MIT,False
apache/airflow,,readdirp,unknown,False
apache/airflow,,picomatch,MIT,False
apache/airflow,,tough-cookie,unknown,False
apache/airflow,,url-parse,MIT,False
apache/airflow,,universalify,MIT,False
apache/airflow,,punycode,MIT,False
apache/airflow,,psl,MIT,False
apache/airflow,,react-textarea-autosize,unknown,False
apache/airflow,,use-composed-ref,MIT,False
apache/airflow,,use-latest,MIT,False
apache/airflow,,@babel/runtime,MIT,False
apache/airflow,,react,MIT,False
apache/airflow,,@babel/types,unknown,False
apache/airflow,,@babel/helper-string-parser,MIT,False
apache/airflow,,@babel/helper-validator-identifier,MIT,False
apache/airflow,,spdx-correct,unknown,False
apache/airflow,,spdx-expression-parse,MIT,False
apache/airflow,,spdx-license-ids,CC0-1.0,False
apache/airflow,,isarray,MIT,False
apache/airflow,,has-tostringtag,MIT,False
apache/airflow,,which-collection,MIT,False
apache/airflow,,call-bound,MIT,False
apache/airflow,,is-regex,MIT,False
apache/airflow,,function.prototype.name,MIT,False
apache/airflow,,is-weakref,MIT,False
apache/airflow,,which-boxed-primitive,MIT,False
