repo,sha,name,license,is_root
jupyter/notebook,,jupyter/notebook,unknown,True
jupyter/notebook,,@babel/plugin-transform-modules-commonjs,unknown,False
jupyter/notebook,,@babel/helper-simple-access,MIT,False
jupyter/notebook,,@babel/helper-plugin-utils,MIT,False
jupyter/notebook,,@babel/helper-module-transforms,MIT,False
jupyter/notebook,,react-toastify,unknown,False
jupyter/notebook,,clsx,MIT,False
jupyter/notebook,,load-json-file,unknown,False
jupyter/notebook,,parse-json,MIT,False
jupyter/notebook,,type-fest,MIT OR (CC0-1.0 AND MIT),False
jupyter/notebook,,strip-bom,MIT,False
jupyter/notebook,,graceful-fs,ISC,False
jupyter/notebook,,@babel/plugin-transform-export-namespace-from,unknown,False
jupyter/notebook,,@babel/plugin-syntax-export-namespace-from,MIT,False
jupyter/notebook,,@types/d3-shape,unknown,False
jupyter/notebook,,@types/d3-path,MIT,False
jupyter/notebook,,@sigstore/bundle,unknown,False
jupyter/notebook,,@sigstore/protobuf-specs,Apache-2.0,False
jupyter/notebook,,@jupyterlab/filebrowser-extension,unknown,False
jupyter/notebook,,@lumino/algorithm,BSD-3-Clause,False
jupyter/notebook,,@lumino/commands,BSD-3-Clause,False
jupyter/notebook,,@lumino/widgets,BSD-3-Clause,False
jupyter/notebook,,@jupyterlab/services,unknown,False
jupyter/notebook,,@jupyterlab/statusbar,unknown,False
jupyter/notebook,,@jupyterlab/docmanager,unknown,False
jupyter/notebook,,@jupyterlab/ui-components,unknown,False
jupyter/notebook,,@jupyterlab/statedb,unknown,False
jupyter/notebook,,@jupyterlab/apputils,unknown,False
jupyter/notebook,,@jupyterlab/coreutils,unknown,False
jupyter/notebook,,@jupyterlab/application,unknown,False
jupyter/notebook,,@jupyterlab/settingregistry,unknown,False
jupyter/notebook,,@jupyterlab/filebrowser,unknown,False
jupyter/notebook,,@jupyterlab/docregistry,unknown,False
jupyter/notebook,,@jupyterlab/translation,unknown,False
jupyter/notebook,,read-pkg,unknown,False
jupyter/notebook,,path-type,MIT,False
jupyter/notebook,,normalize-package-data,BSD-2-Clause,False
jupyter/notebook,,chalk,unknown,False
jupyter/notebook,,supports-color,MIT,False
jupyter/notebook,,ansi-styles,MIT,False
jupyter/notebook,,agent-base,unknown,False
jupyter/notebook,,debug,MIT,False
jupyter/notebook,,ejs,unknown,False
jupyter/notebook,,jake,Apache-2.0,False
jupyter/notebook,,@jridgewell/trace-mapping,unknown,False
jupyter/notebook,,@jridgewell/resolve-uri,MIT,False
jupyter/notebook,,@jridgewell/sourcemap-codec,MIT,False
jupyter/notebook,,@types/babel__template,unknown,False
jupyter/notebook,,@babel/parser,MIT,False
jupyter/notebook,,@babel/types,MIT,False
jupyter/notebook,,@lezer/json,unknown,False
jupyter/notebook,,@lezer/lr,MIT,False
jupyter/notebook,,@lezer/highlight,MIT,False
jupyter/notebook,,fastq,unknown,False
jupyter/notebook,,reusify,MIT,False
jupyter/notebook,,@types/rimraf,unknown,False
jupyter/notebook,,@types/glob,MIT,False
jupyter/notebook,,@types/node,MIT,False
jupyter/notebook,,@codemirror/lang-javascript,unknown,False
jupyter/notebook,,@codemirror/lint,MIT,False
jupyter/notebook,,@lezer/javascript,MIT,False
jupyter/notebook,,@lezer/common,MIT,False
jupyter/notebook,,@codemirror/state,MIT,False
jupyter/notebook,,@codemirror/autocomplete,MIT,False
jupyter/notebook,,@codemirror/language,MIT,False
jupyter/notebook,,@codemirror/view,MIT,False
jupyter/notebook,,string.prototype.trim,unknown,False
jupyter/notebook,,call-bind,MIT,False
jupyter/notebook,,define-properties,MIT,False
jupyter/notebook,,es-abstract,MIT,False
jupyter/notebook,,makeerror,unknown,False
jupyter/notebook,,tmpl,BSD-3-Clause,False
jupyter/notebook,,@types/babel__core,unknown,False
jupyter/notebook,,@types/babel__generator,MIT,False
jupyter/notebook,,@types/babel__traverse,MIT,False
jupyter/notebook,,array.prototype.tosorted,unknown,False
jupyter/notebook,,es-shim-unscopables,MIT,False
jupyter/notebook,,get-intrinsic,MIT,False
jupyter/notebook,,globby,unknown,False
jupyter/notebook,,array-union,MIT,False
jupyter/notebook,,slash,MIT,False
jupyter/notebook,,dir-glob,MIT,False
jupyter/notebook,,merge2,MIT,False
jupyter/notebook,,fast-glob,MIT,False
jupyter/notebook,,ignore,MIT,False
jupyter/notebook,,glob,ISC,False
jupyter/notebook,,conventional-commits-parser,unknown,False
jupyter/notebook,,meow,MIT,False
jupyter/notebook,,is-text-path,MIT,False
jupyter/notebook,,split2,ISC,False
jupyter/notebook,,JSONStream,Apache-2.0 OR MIT OR (Apache-2.0 AND MIT),False
jupyter/notebook,,registry-url,unknown,False
jupyter/notebook,,rc,Apache-2.0 OR BSD-2-Clause OR MIT OR (Apache-2.0 AND BSD-2-Clause) OR (Apache-2.0 AND MIT) OR (BSD-2-Clause AND MIT),False
jupyter/notebook,,@lumino/signaling,unknown,False
jupyter/notebook,,@lumino/coreutils,BSD-3-Clause,False
jupyter/notebook,,@npmcli/promise-spawn,unknown,False
jupyter/notebook,,which,ISC,False
jupyter/notebook,,jest-message-util,unknown,False
jupyter/notebook,,@jest/types,MIT,False
jupyter/notebook,,micromatch,MIT,False
jupyter/notebook,,@types/stack-utils,MIT,False
jupyter/notebook,,stack-utils,MIT,False
jupyter/notebook,,pretty-format,MIT,False
jupyter/notebook,,@babel/code-frame,MIT,False
jupyter/notebook,,finalhandler,unknown,False
jupyter/notebook,,statuses,MIT,False
jupyter/notebook,,unpipe,MIT,False
jupyter/notebook,,on-finished,MIT,False
jupyter/notebook,,escape-html,MIT,False
