repo,sha,name,license,is_root
jupyterlab/jupyterlab,,jupyterlab/jupyterlab,unknown,True
jupyterlab/jupyterlab,,source-map-support,unknown,False
jupyterlab/jupyterlab,,source-map,BSD-3-Clause,False
jupyterlab/jupyterlab,,buffer-from,MIT,False
jupyterlab/jupyterlab,,@lumino/disposable,unknown,False
jupyterlab/jupyterlab,,@lumino/signaling,BSD-3-Clause,False
jupyterlab/jupyterlab,,@lumino/polling,unknown,False
jupyterlab/jupyterlab,,@lumino/coreutils,BSD-3-Clause,False
jupyterlab/jupyterlab,,@lumino/commands,unknown,False
jupyterlab/jupyterlab,,@lumino/algorithm,BSD-3-Clause,False
jupyterlab/jupyterlab,,@lumino/keyboard,BSD-3-Clause,False
jupyterlab/jupyterlab,,@lumino/domutils,BSD-3-Clause,False
jupyterlab/jupyterlab,,@lumino/virtualdom,BSD-3-Clause,False
jupyterlab/jupyterlab,,terser,unknown,False
jupyterlab/jupyterlab,,acorn,MIT,False
jupyterlab/jupyterlab,,@jridgewell/source-map,MIT,False
jupyterlab/jupyterlab,,commander,MIT,False
jupyterlab/jupyterlab,,clone-deep,unknown,False
jupyterlab/jupyterlab,,is-plain-object,MIT,False
jupyterlab/jupyterlab,,shallow-clone,MIT,False
jupyterlab/jupyterlab,,kind-of,MIT,False
jupyterlab/jupyterlab,,esrecurse,unknown,False
jupyterlab/jupyterlab,,estraverse,BSD-2-Clause,False
jupyterlab/jupyterlab,,@types/webpack-sources,unknown,False
jupyterlab/jupyterlab,,@types/source-list-map,MIT,False
jupyterlab/jupyterlab,,@types/node,MIT,False
jupyterlab/jupyterlab,,y-protocols,unknown,False
jupyterlab/jupyterlab,,lib0,MIT,False
jupyterlab/jupyterlab,,@jupyterlab/builder,unknown,False
jupyterlab/jupyterlab,,terser-webpack-plugin,MIT,False
jupyterlab/jupyterlab,,mini-svg-data-uri,MIT,False
jupyterlab/jupyterlab,,license-webpack-plugin,ISC,False
jupyterlab/jupyterlab,,@lumino/messaging,BSD-3-Clause,False
jupyterlab/jupyterlab,,source-map-loader,MIT,False
jupyterlab/jupyterlab,,@lumino/properties,BSD-3-Clause,False
jupyterlab/jupyterlab,,fs-extra,MIT,False
jupyterlab/jupyterlab,,@lumino/widgets,BSD-3-Clause,False
jupyterlab/jupyterlab,,ajv,MIT,False
jupyterlab/jupyterlab,,supports-color,MIT,False
jupyterlab/jupyterlab,,mini-css-extract-plugin,MIT,False
jupyterlab/jupyterlab,,worker-loader,MIT,False
jupyterlab/jupyterlab,,css-loader,MIT,False
jupyterlab/jupyterlab,,style-loader,MIT,False
jupyterlab/jupyterlab,,duplicate-package-checker-webpack-plugin,MIT,False
jupyterlab/jupyterlab,,@lumino/dragdrop,BSD-3-Clause,False
jupyterlab/jupyterlab,,process,MIT,False
jupyterlab/jupyterlab,,webpack-merge,MIT,False
jupyterlab/jupyterlab,,@lumino/application,BSD-3-Clause,False
jupyterlab/jupyterlab,,glob,ISC,False
jupyterlab/jupyterlab,,path-browserify,MIT,False
jupyterlab/jupyterlab,,webpack-cli,MIT,False
jupyterlab/jupyterlab,,webpack,MIT,False
jupyterlab/jupyterlab,,url-parse,unknown,False
jupyterlab/jupyterlab,,requires-port,MIT,False
jupyterlab/jupyterlab,,querystringify,MIT,False
jupyterlab/jupyterlab,,ajv-keywords,unknown,False
jupyterlab/jupyterlab,,fast-deep-equal,MIT,False
jupyterlab/jupyterlab,,@types/react,unknown,False
jupyterlab/jupyterlab,,@types/scheduler,MIT,False
jupyterlab/jupyterlab,,csstype,MIT,False
jupyterlab/jupyterlab,,@types/prop-types,MIT,False
jupyterlab/jupyterlab,,json-schema-traverse,MIT,False
jupyterlab/jupyterlab,,uri-js,BSD-2-Clause AND BSD-2-Clause-Views,False
jupyterlab/jupyterlab,,fast-json-stable-stringify,MIT,False
jupyterlab/jupyterlab,,inflight,unknown,False
jupyterlab/jupyterlab,,wrappy,ISC,False
jupyterlab/jupyterlab,,once,ISC,False
jupyterlab/jupyterlab,,schema-utils,unknown,False
jupyterlab/jupyterlab,,@types/json-schema,MIT,False
jupyterlab/jupyterlab,,ajv-formats,MIT,False
jupyterlab/jupyterlab,,has-flag,MIT,False
jupyterlab/jupyterlab,,postcss,unknown,False
jupyterlab/jupyterlab,,source-map-js,BSD-3-Clause,False
jupyterlab/jupyterlab,,picocolors,ISC,False
jupyterlab/jupyterlab,,nanoid,MIT,False
jupyterlab/jupyterlab,,jsonfile,unknown,False
jupyterlab/jupyterlab,,universalify,MIT,False
jupyterlab/jupyterlab,,graceful-fs,ISC,False
jupyterlab/jupyterlab,,shebang-command,unknown,False
jupyterlab/jupyterlab,,shebang-regex,MIT,False
jupyterlab/jupyterlab,,chrome-trace-event,MIT,False
jupyterlab/jupyterlab,,loader-runner,MIT,False
jupyterlab/jupyterlab,,webpack-sources,MIT,False
jupyterlab/jupyterlab,,events,MIT,False
jupyterlab/jupyterlab,,glob-to-regexp,BSD-2-Clause,False
jupyterlab/jupyterlab,,neo-async,MIT,False
jupyterlab/jupyterlab,,mime-types,MIT,False
jupyterlab/jupyterlab,,watchpack,MIT,False
jupyterlab/jupyterlab,,tapable,MIT,False
jupyterlab/jupyterlab,,@types/eslint-scope,MIT,False
jupyterlab/jupyterlab,,json-parse-even-better-errors,MIT,False
jupyterlab/jupyterlab,,es-module-lexer,MIT,False
jupyterlab/jupyterlab,,eslint-scope,BSD-2-Clause,False
jupyterlab/jupyterlab,,browserslist,MIT,False
jupyterlab/jupyterlab,,@webassemblyjs/wasm-parser,MIT,False
jupyterlab/jupyterlab,,@types/estree,MIT,False
jupyterlab/jupyterlab,,enhanced-resolve,MIT,False
jupyterlab/jupyterlab,,@webassemblyjs/ast,MIT,False
jupyterlab/jupyterlab,,@webassemblyjs/wasm-edit,MIT,False
jupyterlab/jupyterlab,,@jridgewell/trace-mapping,MIT,False
jupyterlab/jupyterlab,,serialize-javascript,BSD-3-Clause,False
jupyterlab/jupyterlab,,jest-worker,MIT,False
jupyterlab/jupyterlab,,typestyle,unknown,False
jupyterlab/jupyterlab,,free-style,MIT,False
jupyterlab/jupyterlab,,@webassemblyjs/helper-wasm-section,unknown,False
jupyterlab/jupyterlab,,@webassemblyjs/helper-wasm-bytecode,MIT,False
jupyterlab/jupyterlab,,@webassemblyjs/wasm-gen,MIT,False
jupyterlab/jupyterlab,,@webassemblyjs/helper-buffer,MIT,False
jupyterlab/jupyterlab,,loader-utils,unknown,False
jupyterlab/jupyterlab,,big.js,MIT,False
jupyterlab/jupyterlab,,emojis-list,MIT,False
jupyterlab/jupyterlab,,json5,MIT,False
jupyterlab/jupyterlab,,randombytes,MIT,False
jupyterlab/jupyterlab,,postcss-modules-local-by-default,unknown,False
jupyterlab/jupyterlab,,postcss-selector-parser,MIT,False
jupyterlab/jupyterlab,,icss-utils,ISC,False
jupyterlab/jupyterlab,,postcss-value-parser,MIT,False
jupyterlab/jupyterlab,,resolve-cwd,unknown,False
jupyterlab/jupyterlab,,resolve-from,MIT,False
jupyterlab/jupyterlab,,inherits,ISC,False
jupyterlab/jupyterlab,,path-is-absolute,MIT,False
jupyterlab/jupyterlab,,minimatch,ISC,False
jupyterlab/jupyterlab,,fs.realpath,ISC,False
jupyterlab/jupyterlab,,tr46,unknown,False
jupyterlab/jupyterlab,,punycode,MIT,False
jupyterlab/jupyterlab,,@jupyter/react-components,unknown,False
jupyterlab/jupyterlab,,@jupyter/web-components,BSD-3-Clause,False
jupyterlab/jupyterlab,,react,MIT,False
jupyterlab/jupyterlab,,@microsoft/fast-react-wrapper,MIT,False
jupyterlab/jupyterlab,,loose-envify,unknown,False
jupyterlab/jupyterlab,,js-tokens,MIT,False
jupyterlab/jupyterlab,,@jupyterlab/rendermime-interfaces,unknown,False
jupyterlab/jupyterlab,,fastest-levenshtein,MIT,False
jupyterlab/jupyterlab,,@webpack-cli/configtest,MIT,False
jupyterlab/jupyterlab,,@webpack-cli/serve,MIT,False
jupyterlab/jupyterlab,,colorette,MIT,False
jupyterlab/jupyterlab,,interpret,MIT,False
jupyterlab/jupyterlab,,rechoir,MIT,False
jupyterlab/jupyterlab,,@discoveryjs/json-ext,MIT,False
jupyterlab/jupyterlab,,envinfo,MIT,False
jupyterlab/jupyterlab,,@webpack-cli/info,MIT,False
jupyterlab/jupyterlab,,import-local,MIT,False
jupyterlab/jupyterlab,,cross-spawn,MIT,False
jupyterlab/jupyterlab,,@microsoft/fast-foundation,unknown,False
jupyterlab/jupyterlab,,@microsoft/fast-element,MIT,False
jupyterlab/jupyterlab,,tabbable,MIT,False
jupyterlab/jupyterlab,,@microsoft/fast-web-utilities,MIT,False
jupyterlab/jupyterlab,,tslib,0BSD,False
jupyterlab/jupyterlab,,@lumino/collections,unknown,False
jupyterlab/jupyterlab,,isomorphic.js,MIT,False
jupyterlab/jupyterlab,,@jupyterlab/apputils,unknown,False
jupyterlab/jupyterlab,,@jupyterlab/settingregistry,BSD-3-Clause,False
jupyterlab/jupyterlab,,@jupyterlab/services,BSD-3-Clause,False
jupyterlab/jupyterlab,,sanitize-html,MIT,False
jupyterlab/jupyterlab,,@jupyterlab/ui-components,BSD-3-Clause,False
jupyterlab/jupyterlab,,@jupyterlab/statedb,BSD-3-Clause,False
jupyterlab/jupyterlab,,@jupyterlab/observables,BSD-3-Clause,False
jupyterlab/jupyterlab,,@jupyterlab/statusbar,BSD-3-Clause,False
