repo,sha,name,license,is_root
matplotlib/matplotlib,,matplotlib/matplotlib,unknown,True
matplotlib/matplotlib,,com.github.matplotlib/matplotlib,unknown,False
matplotlib/matplotlib,,eslint,unknown,False
matplotlib/matplotlib,,eslint-config-prettier,unknown,False
matplotlib/matplotlib,,prettier,unknown,False
matplotlib/matplotlib,,@jsxtools/resize-observer,unknown,False
matplotlib/matplotlib,,black,unknown,False
matplotlib/matplotlib,,certifi,unknown,False
matplotlib/matplotlib,,cycler,unknown,False
matplotlib/matplotlib,,sphinx-design,unknown,False
matplotlib/matplotlib,,mpl-sphinx-theme,unknown,False
matplotlib/matplotlib,,actions/cache,unknown,False
matplotlib/matplotlib,,meson-python,unknown,False
matplotlib/matplotlib,,pytest,unknown,False
matplotlib/matplotlib,,fonttools,MIT,False
matplotlib/matplotlib,,packaging,(Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause) OR (Apache-2.0 AND BSD-2-Clause),False
matplotlib/matplotlib,,ruff,unknown,False
matplotlib/matplotlib,,ipython,unknown,False
matplotlib/matplotlib,,colorspacious,unknown,False
matplotlib/matplotlib,,actions/upload-artifact,unknown,False
matplotlib/matplotlib,,setuptools-scm,unknown,False
matplotlib/matplotlib,,pytest-cov,unknown,False
matplotlib/matplotlib,,importlib-resources,Apache-2.0,False
matplotlib/matplotlib,,types-psutil,unknown,False
matplotlib/matplotlib,,github/codeql-action/analyze,unknown,False
matplotlib/matplotlib,,pytz,unknown,False
matplotlib/matplotlib,,nbformat,unknown,False
matplotlib/matplotlib,,codecov/codecov-action,unknown,False
matplotlib/matplotlib,,peter-evans/create-or-update-comment,unknown,False
matplotlib/matplotlib,,pybind11,unknown,False
matplotlib/matplotlib,,numpy,BSD-2-Clause,False
matplotlib/matplotlib,,pillow,MIT-CMU,False
matplotlib/matplotlib,,pystemmer,unknown,False
matplotlib/matplotlib,,imjohnbo/issue-bot,unknown,False
matplotlib/matplotlib,,pre-commit/action,unknown,False
matplotlib/matplotlib,,pypa/cibuildwheel,unknown,False
matplotlib/matplotlib,,ipykernel,BSD-2-Clause,False
matplotlib/matplotlib,,kiwisolver,BSD-2-Clause,False
matplotlib/matplotlib,,types-python-dateutil,unknown,False
matplotlib/matplotlib,,actions/labeler,unknown,False
matplotlib/matplotlib,,actions/download-artifact,unknown,False
matplotlib/matplotlib,,contourpy,unknown,False
matplotlib/matplotlib,,eps1lon/actions-label-merge-conflict,unknown,False
matplotlib/matplotlib,,github/codeql-action/init,unknown,False
matplotlib/matplotlib,,pyyaml,unknown,False
matplotlib/matplotlib,,pydata-sphinx-theme,unknown,False
matplotlib/matplotlib,,pypa/gh-action-pypi-publish,unknown,False
matplotlib/matplotlib,,pytest-rerunfailures,unknown,False
matplotlib/matplotlib,,pyparsing,MIT,False
matplotlib/matplotlib,,mypy,unknown,False
matplotlib/matplotlib,,sphinx-tags,unknown,False
matplotlib/matplotlib,,sphinx-copybutton,unknown,False
matplotlib/matplotlib,,sphinxcontrib-video,unknown,False
matplotlib/matplotlib,,actions/first-interaction,unknown,False
matplotlib/matplotlib,,sphinxcontrib-svg2pdfconverter,unknown,False
matplotlib/matplotlib,,pytest-xdist,unknown,False
matplotlib/matplotlib,,pywin32,unknown,False
matplotlib/matplotlib,,coverage,unknown,False
matplotlib/matplotlib,,python-dateutil,unknown,False
matplotlib/matplotlib,,pandas-stubs,unknown,False
matplotlib/matplotlib,,sphinx,unknown,False
matplotlib/matplotlib,,actions/setup-python,unknown,False
matplotlib/matplotlib,,cygwin/cygwin-install-action,unknown,False
matplotlib/matplotlib,,typing-extensions,unknown,False
matplotlib/matplotlib,,types-pillow,unknown,False
matplotlib/matplotlib,,reviewdog/action-eslint,unknown,False
matplotlib/matplotlib,,actions/attest-build-provenance,unknown,False
matplotlib/matplotlib,,actions/checkout,unknown,False
matplotlib/matplotlib,,pytest-timeout,unknown,False
matplotlib/matplotlib,,psutil,unknown,False
matplotlib/matplotlib,,ipywidgets,unknown,False
matplotlib/matplotlib,,scientific-python/upload-nightly-action,unknown,False
matplotlib/matplotlib,,setuptools,unknown,False
matplotlib/matplotlib,,numpydoc,unknown,False
matplotlib/matplotlib,,xarray,unknown,False
matplotlib/matplotlib,,pandas,unknown,False
matplotlib/matplotlib,,reviewdog/action-setup,unknown,False
matplotlib/matplotlib,,scientific-python/circleci-artifacts-redirector-action,unknown,False
matplotlib/matplotlib,,tornado,unknown,False
matplotlib/matplotlib,,meson,Apache-2.0,False
matplotlib/matplotlib,,matplotlib-inline,unknown,False
matplotlib/matplotlib,,actions/stale,unknown,False
matplotlib/matplotlib,,sphinx-gallery,unknown,False
matplotlib/matplotlib,,pikepdf,unknown,False
matplotlib/matplotlib,,nbconvert,unknown,False
matplotlib/matplotlib,,pytest-xvfb,unknown,False
