repo,sha,name,license,is_root
scikit-learn/scikit-learn,,scikit-learn/scikit-learn,unknown,True
scikit-learn/scikit-learn,,com.github.scikit-learn/scikit-learn,unknown,False
scikit-learn/scikit-learn,,pytest,unknown,False
scikit-learn/scikit-learn,,actions/checkout,unknown,False
scikit-learn/scikit-learn,,joblib,BSD-2-Clause AND BSD-3-Clause,False
scikit-learn/scikit-learn,,threadpoolctl,BSD-2-Clause AND BSD-3-Clause,False
scikit-learn/scikit-learn,,github/codeql-action/autobuild,unknown,False
scikit-learn/scikit-learn,,github/codeql-action/init,unknown,False
scikit-learn/scikit-learn,,pypa/cibuildwheel,unknown,False
scikit-learn/scikit-learn,,sphinx-gallery,unknown,False
scikit-learn/scikit-learn,,cython,unknown,False
scikit-learn/scikit-learn,,peter-evans/create-pull-request,unknown,False
scikit-learn/scikit-learn,,thomasjpfan/labeler,unknown,False
scikit-learn/scikit-learn,,pytest-xdist,unknown,False
scikit-learn/scikit-learn,,github/codeql-action/analyze,unknown,False
scikit-learn/scikit-learn,,codespell-project/actions-codespell,unknown,False
scikit-learn/scikit-learn,,pillow,unknown,False
scikit-learn/scikit-learn,,scikit-image,unknown,False
scikit-learn/scikit-learn,,pytest-cov,unknown,False
scikit-learn/scikit-learn,,conda-incubator/setup-miniconda,unknown,False
scikit-learn/scikit-learn,,codespell-project/codespell-problem-matcher,unknown,False
scikit-learn/scikit-learn,,andymckay/labeler,unknown,False
scikit-learn/scikit-learn,,polars,unknown,False
scikit-learn/scikit-learn,,matplotlib,unknown,False
scikit-learn/scikit-learn,,scientific-python/circleci-artifacts-redirector-action,unknown,False
scikit-learn/scikit-learn,,actions/cache,unknown,False
scikit-learn/scikit-learn,,actions/upload-artifact,unknown,False
scikit-learn/scikit-learn,,pandas,unknown,False
scikit-learn/scikit-learn,,scientific-python/action-towncrier-changelog,unknown,False
scikit-learn/scikit-learn,,numpy,unknown,False
scikit-learn/scikit-learn,,scipy,unknown,False
scikit-learn/scikit-learn,,seaborn,unknown,False
scikit-learn/scikit-learn,,scientific-python/upload-nightly-action,unknown,False
scikit-learn/scikit-learn,,actions-ecosystem/action-remove-labels,unknown,False
scikit-learn/scikit-learn,,scikit-learn,unknown,False
scikit-learn/scikit-learn,,pypa/gh-action-pypi-publish,unknown,False
scikit-learn/scikit-learn,,actions/setup-python,unknown,False
scikit-learn/scikit-learn,,meson-python,unknown,False
scikit-learn/scikit-learn,,ninja,unknown,False
scikit-learn/scikit-learn,,actions/download-artifact,unknown,False
