repo,sha,name,license,is_root
tiangolo/fastapi,,tiangolo/fastapi,unknown,True
tiangolo/fastapi,,com.github.fastapi/fastapi,unknown,False
tiangolo/fastapi,,tiangolo/issue-manager,unknown,False
tiangolo/fastapi,,mkdocs-material,MIT,False
tiangolo/fastapi,,jieba,MIT,False
tiangolo/fastapi,,sqlmodel,MIT,False
tiangolo/fastapi,,pypa/gh-action-pypi-publish,unknown,False
tiangolo/fastapi,,smokeshow,unknown,False
tiangolo/fastapi,,httpx,unknown,False
tiangolo/fastapi,,cairosvg,LGPL-2.0-or-later AND LGPL-3.0 AND LGPL-3.0-only AND LGPL-3.0-or-later,False
tiangolo/fastapi,,starlette,unknown,False
tiangolo/fastapi,,cloudflare/wrangler-action,unknown,False
tiangolo/fastapi,,passlib,unknown,False
tiangolo/fastapi,,flask,unknown,False
tiangolo/fastapi,,mkdocs-redirects,unknown,False
tiangolo/fastapi,,pre-commit,unknown,False
tiangolo/fastapi,,dirty-equals,MIT,False
tiangolo/fastapi,,dorny/paths-filter,unknown,False
tiangolo/fastapi,,actions/upload-artifact,unknown,False
tiangolo/fastapi,,tiangolo/latest-changes,unknown,False
tiangolo/fastapi,,pillow,LicenseRef-scancode-secret-labs-2011 AND MIT-CMU,False
tiangolo/fastapi,,griffe-typingdoc,ISC,False
tiangolo/fastapi,,typer,MIT,False
tiangolo/fastapi,,actions/download-artifact,unknown,False
tiangolo/fastapi,,coverage,unknown,False
tiangolo/fastapi,,anyio,unknown,False
tiangolo/fastapi,,actions/checkout,unknown,False
tiangolo/fastapi,,actions/add-to-project,unknown,False
tiangolo/fastapi,,mdx-include,unknown,False
tiangolo/fastapi,,playwright,unknown,False
tiangolo/fastapi,,typing-extensions,unknown,False
tiangolo/fastapi,,types-orjson,Apache-2.0,False
tiangolo/fastapi,,pytest,unknown,False
tiangolo/fastapi,,actions/cache,unknown,False
tiangolo/fastapi,,pydantic-ai,MIT,False
tiangolo/fastapi,,mkdocs-macros-plugin,unknown,False
tiangolo/fastapi,,mypy,MIT,False
tiangolo/fastapi,,inline-snapshot,unknown,False
tiangolo/fastapi,,re-actors/alls-green,unknown,False
tiangolo/fastapi,,pygithub,unknown,False
tiangolo/fastapi,,gitpython,BSD-3-Clause,False
tiangolo/fastapi,,ruff,0BSD AND Apache-2.0 AND BSD-3-Clause AND MIT,False
tiangolo/fastapi,,markdown-include-variants,MIT,False
tiangolo/fastapi,,black,MIT,False
tiangolo/fastapi,,types-ujson,Apache-2.0,False
tiangolo/fastapi,,actions/setup-python,unknown,False
tiangolo/fastapi,,pydantic,unknown,False
tiangolo/fastapi,,pydantic-settings,unknown,False
tiangolo/fastapi,,mxschmitt/action-tmate,unknown,False
tiangolo/fastapi,,actions/labeler,unknown,False
tiangolo/fastapi,,mkdocstrings,ISC,False
tiangolo/fastapi,,pyyaml,unknown,False
tiangolo/fastapi,,pyjwt,MIT,False
tiangolo/fastapi,,astral-sh/setup-uv,unknown,False
